oid,candid,mjd,fid,pid,diffmaglim,isdiffpos,nid,ra,dec,magpsf,sigmapsf,magap,sigmagap,distnr,rb,rbversion,drb,drbversion,magapbig,sigmagapbig,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,corrected,dubious,parent_candid,has_stamp,step_id_corr
ZTF17aaadosl,1216478851715015001,58970.47885419987,1,1216478851715,20.64171,1,1216,311.6273783,4.3494175,15.533963,0.03156106,15.5763,0.0063,0.30762935,0.87857145,t17_f5_c3,0.9990653,d6_m7,15.5634,0.0068,491120117,14.91805,0.014253686,0.017897252,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1221439151715010002,58975.43915509991,2,1221439151715,19.727581,-1,1221,311.6274232,4.3495228,17.498594,0.12265698,17.5464,0.0586,0.17721331,0.7657143,t17_f5_c3,0.99303347,d6_m7,17.6015,0.0776,491120217,15.795461,0.011219039,0.025552824,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1221464341715010006,58975.46434029983,1,1221464341715,19.362787,-1,1221,311.6274025,4.3495166,17.221336,0.075286254,17.1923,0.0488,0.05742895,0.9357143,t17_f5_c3,0.9999515,d6_m7,17.1737,0.0607,491120117,16.17895,100.0,0.02882442,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1232423241715010007,58986.423240699805,1,1232423241715,20.481256,-1,1232,311.6274387,4.3495627,18.04311,0.20496394,17.7096,0.0357,0.24018045,0.5214286,t17_f5_c3,0.8081689,d6_m7,17.6763,0.0414,491120117,15.978057,0.010514866,0.030595409,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1232465171715010003,58986.465173599776,2,1232465171715,20.648657,-1,1232,311.6273691,4.3495458,17.539865,0.03732907,17.5364,0.0313,0.23841314,0.62285715,t17_f5_c3,0.7702501,d6_m7,17.561,0.0379,491120217,15.787057,100.0,0.007428887,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1232465171715010004,58986.465173599776,2,1232465171715,20.648657,-1,1232,311.6272931,4.3495077,17.504606,0.15981188,17.9974,0.0441,0.36322498,0.52428573,t17_f5_c3,0.71095747,d6_m7,17.9733,0.0523,491120217,15.794212,0.02382946,0.033071324,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1238452141715010009,58992.45214120019,2,1238452141715,20.488056,-1,1238,311.6274081,4.3494473,16.858847,0.05438891,16.9074,0.0175,0.123950094,0.88285714,t17_f5_c3,0.9999999,d6_m7,16.8889,0.0204,491120217,15.994114,100.0,0.024525456,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1238464371715010016,58992.46437499998,1,1238464371715,20.840395,-1,1238,311.6274286,4.3494986,16.959143,0.08823748,16.8589,0.0138,0.09033023,0.8485714,t17_f5_c3,0.99947536,d6_m7,16.846,0.0158,491120117,16.298878,0.028575772,0.04803383,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1241352911715010011,58995.352916699834,1,1241352911715,20.387999,-1,1241,311.6274297,4.3495445,17.719301,0.08783116,17.5711,0.0354,0.17410783,0.7214286,t17_f5_c3,0.9965267,d6_m7,17.5492,0.0417,491120117,16.035887,100.0,0.018633002,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1241452311715010008,58995.45231480012,2,1241452311715,20.62169,-1,1241,311.6274028,4.3494556,17.020428,0.08040123,17.0699,0.0198,0.09955996,0.82714283,t17_f5_c3,0.9999045,d6_m7,17.0649,0.0233,491120217,15.928441,0.013836905,0.02940818,True,False,0,True,corr_bulk_0.0.1
