oid,flat_base,flat_abl,top_base,top_abl
ZTF18acmybqm,YSO,YSO,Periodic,Stochastic
ZTF18acmyrry,RSCVn,YSO,Periodic,Stochastic
ZTF18acmzher,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acmzims,Blazar,CV/Nova,Stochastic,Stochastic
ZTF18acnajmq,RSCVn,YSO,Periodic,Stochastic
ZTF18acnancc,EB/EW,EB/EW,Periodic,Periodic
ZTF18acnapfm,LPV,YSO,Periodic,Stochastic
ZTF18acnawmr,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acnbqfi,RSCVn,Microlensing,Periodic,Stochastic
ZTF18acndubl,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acniryv,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18acnjhck,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acnjnuv,EB/EW,CV/Nova,Periodic,Stochastic
ZTF18acnktts,EA,CV/Nova,Periodic,Stochastic
ZTF18acnkvni,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acnlgrs,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acnmjfc,RSCVn,YSO,Periodic,Stochastic
ZTF18acnnjtl,EB/EW,EB/EW,Periodic,Periodic
ZTF18acnnsnh,RSCVn,YSO,Periodic,Periodic
ZTF18acnpgaq,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acntdwx,RSCVn,YSO,Periodic,Stochastic
ZTF18acnumgb,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acodymt,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acoflwd,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18acoqwrk,YSO,YSO,Periodic,Stochastic
ZTF18acovngr,LPV,CV/Nova,Periodic,Stochastic
ZTF18acovong,RSCVn,RSCVn,Periodic,Periodic
ZTF18acoxlaw,YSO,CV/Nova,Periodic,Stochastic
ZTF18acpbsfx,RSCVn,YSO,Periodic,Stochastic
ZTF18acpdctr,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF18acpdnoh,EB/EW,EB/EW,Periodic,Periodic
ZTF18acpewij,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acpexan,RRLc,CV/Nova,Periodic,Transient
ZTF18acpgnpj,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acpgqsy,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acpgwmm,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acpgxqb,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF18acphgha,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acpjzdr,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acpkjgm,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acpkvob,RSCVn,CV/Nova,Periodic,Periodic
ZTF18acpljat,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acpmqhj,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18acpnuia,DSCT,CV/Nova,Periodic,Transient
ZTF18acppmjd,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acpshxv,YSO,CV/Nova,Periodic,Stochastic
ZTF18acpsiln,YSO,CV/Nova,Periodic,Stochastic
ZTF18acptvqc,CEP,CEP,Periodic,Periodic
ZTF18acpuzbk,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18acpvflw,EB/EW,EB/EW,Periodic,Periodic
ZTF18acpvgon,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18acpvlzx,EB/EW,EB/EW,Periodic,Periodic
ZTF18acpvmmo,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acpvnlg,CEP,CEP,Periodic,Periodic
ZTF18acpvwdh,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acpwgkv,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acpxyrd,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acpyagk,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acpzguk,EA,CV/Nova,Periodic,Stochastic
ZTF18acqargw,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acqarqb,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18acqasoz,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acqbams,EA,CV/Nova,Periodic,Transient
ZTF18acqbmsj,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acqbrfm,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acqcfwg,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acqcoba,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18acqgusw,EB/EW,EB/EW,Periodic,Periodic
ZTF18acqjgee,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acqkjbp,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acqlepn,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18acqlopl,Periodic-Other,CV/Nova,Periodic,Periodic
